"alpha_0","alpha_7","alpha_14","alpha_21","alpha_28","alpha_35","alpha_42","alpha_49","alpha_56","alpha_63","alpha_70","alpha_77","alpha_84","alpha_91","alpha_98","alpha_105","alpha_112","alpha_119","elu_0","elu_30","elu_60","elu_90","elu_120","elu_150","elu_180","elu_210","elu_240","elu_270","elu_300","elu_330","elu_360","elu_390","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_90","cdc15_110","cdc15_130","cdc15_150","cdc15_170","cdc15_190","cdc15_210","cdc15_230","cdc15_250","cdc15_270","cdc15_290","spo_0","spo_2","spo_5","spo_7","spo_9","spo_11","spo5_2","spo5_7","spo5_11","spo__early","spo__mid","heat_0","heat_10","heat_20","heat_40","heat_80","heat_160","dtt_15","dtt_30","dtt_60","dtt_120","cold_0","cold_20","cold_40","cold_160","diau_540","diau_660","diau_780","diau_900","diau_1020","diau_1140","diau_1260","class"
-0.23,0.19,-0.36,0.14,-0.4,0.16,-0.09,-0.12,-0.14,-0.14,-0.38,-0.22,0.12,-0.43,-0.42,-0.45,-0.17,-0.27,0.29,-0.09,0.4,-0.1,0.46,0.15,-0.17,-0.18,-0.07,-0.34,0.3,-0.12,-0.06,-0.17,0.07,0.38,0.34,,-0.15,-0.2,0.19,0.37,0.24,-0.07,,0.24,0.45,0.23,0.5,-0.07,,0.66,0.94,0.46,0.06,-0.18,0.39,-0.18,0.16,0.55,-0.06,-0.94,0.21,-0.71,-0.86,-0.45,0.42,1.04,0.65,0.53,-0.47,0.21,-0.29,-0.36,-0.1,-0.29,-0.18,-0.34,-0.47,-0.43,-1.06,GO0008565@GO0031207@GO0005789@GO0006620
-0.69,-0.89,-0.74,-0.56,-0.64,-0.18,-0.42,-0.34,,0.01,-0.1,-0.17,-0.12,-0.43,-0.18,0.06,-0.2,-0.22,-0.04,0.34,0.42,-0.04,-0.14,0.15,0.26,0.4,0.24,0.25,0.37,-0.04,-0.27,0.11,-0.15,-0.07,0.06,0.23,0.07,-0.12,-0.12,,0.04,0.25,0.1,0.3,-0.12,-0.23,-0.12,0.19,0.24,,0.41,0.36,0.98,-0.04,0.18,0.24,0.44,0.32,-0.22,-0.71,-0.34,-0.45,-0.3,-0.45,0.58,-0.22,0.1,0.19,-0.32,-0.01,-0.29,0.31,0.21,0.07,0.18,-0.14,-0.2,-0.43,-1.51,GO0016251@GO0000124@GO0046695@GO0005669@GO0016573@GO0006367@GO0000114
0.04,0.01,-0.81,,-0.3,0.49,0.08,0.19,-0.03,-0.32,-0.34,-0.22,-0.03,-0.06,0.06,0.07,0.1,0.03,-0.18,-0.2,-0.12,0.16,-0.17,0.1,-0.14,-0.01,-0.15,0.04,0.23,-0.04,0.07,0.06,0.7,0.36,0.37,0.3,-0.04,0.19,-0.45,0.21,-1.12,-0.04,0.3,0.88,-0.49,-0.23,-0.04,-0.2,0.45,0.52,0.62,0.48,0.65,-0.14,-0.14,-0.49,-0.04,0.14,-0.1,-0.2,0.01,-0.4,-0.23,-0.04,0.25,-0.27,0.1,0.1,-0.2,0.28,-0.17,0.26,0.07,-0.17,,-0.1,-0.23,-0.51,-1.4,GO0003924@GO0004871@GO0005622@GO0007264@GO0030468@GO0007015@GO0006887
-0.36,-0.17,-0.22,-0.34,-0.36,0.03,-0.2,-0.42,-0.15,0.06,-0.2,-0.1,-0.15,-0.4,-0.3,-0.14,-0.64,-0.15,-0.03,0.1,-1.03,-0.23,-0.23,-0.18,-0.17,0.1,-0.03,0.11,,0.07,-0.03,0.26,-0.04,0.75,0.7,0.14,-0.06,-0.2,0.07,0.44,0.37,-0.01,0.15,0.03,-0.51,-0.49,-0.2,-0.23,-0.64,0.11,0.89,0.52,0.87,-0.86,0.57,0.19,-0.27,-0.22,0.39,0.42,0.55,0.46,0.37,-0.06,-0.56,0.07,0.1,0.19,-0.54,,-0.14,-0.14,-0.15,-0.18,0.33,0.16,-0.3,0.49,0.44,GO0003674@GO0005575@GO0007047
0.31,0.12,0.34,0.61,0.18,0.28,0.14,,-0.07,-0.01,0.11,0.48,0.19,-0.01,-0.14,-0.17,0.14,0.03,0.01,-0.47,-0.27,0.16,0.21,0.07,0.06,0.06,-0.22,-0.06,0.06,-0.34,-0.47,-0.12,-0.51,-0.15,0.06,-0.38,-0.49,-0.4,-0.18,-0.32,-0.25,-0.58,-0.76,-0.54,-0.07,-0.3,-0.6,-0.22,0.38,0.52,0.59,0.58,0.66,-0.29,0.03,0.15,0.74,1.06,-0.3,-0.45,-0.36,,-0.4,-0.3,0.06,-0.06,-0.1,-0.23,-0.36,-2.06,1.02,0.24,0.15,0.1,0.23,,-0.09,0.01,-0.27,GO0005085@GO0016023@GO0005829@GO0006887
-0.17,-0.32,-0.34,-0.42,-0.25,-0.3,0.19,0.26,0.1,-0.23,0.2,-0.29,-0.2,-0.07,0.29,0.68,-0.1,0.29,-0.49,-0.45,-0.3,-0.03,-0.2,-0.38,-0.27,-0.07,0.07,0.03,-0.58,0.03,-0.03,-0.32,,0.25,-0.09,0.33,0.2,0.15,-0.04,-0.22,0.26,0.54,0.26,0.69,0.16,-0.2,-1,0.14,0.16,0.43,0.3,-0.58,0.4,-0.36,-0.1,-0.36,0.5,0.74,0.03,-0.07,0.46,0.1,0.12,0.01,-0.15,-0.79,-0.34,-0.67,-0.01,-0.27,0.37,-0.49,,0.25,0.24,-0.36,-0.3,0.24,-0.1,GO0003709@GO0000127@GO0006384
-0.29,0.31,-0.2,-0.04,-0.38,0.11,-0.2,-0.4,-0.12,0.42,-0.29,0.18,-0.04,-0.29,-0.67,0.23,-0.01,0.16,-0.15,-0.22,0.1,0.1,-0.17,-0.36,0.08,-0.42,-0.15,-0.58,-0.29,-0.54,-0.51,-0.23,-0.17,-0.56,-1.15,-0.32,0.39,0.7,0.25,-0.3,-0.69,-0.32,0.4,0.31,0.62,0.34,0.36,-0.1,-0.51,-0.42,0.11,0.28,0.31,-0.74,0.95,-0.58,0.84,1.7,-0.34,-0.47,-0.15,-0.23,-0.32,-0.14,-0.07,-0.71,-0.4,-0.3,-0.54,-0.09,0.04,-0.06,-0.69,0.66,-0.22,-0.62,-0.74,0.2,0.04,GO0003713@GO0005634@GO0007532@GO0006357
-0.29,-0.07,-0.34,-0.34,-0.36,-0.43,-0.4,-0.25,-0.06,-0.23,0.31,-0.03,-0.15,-0.27,-0.14,0.08,-0.58,-0.12,-0.4,-0.06,-0.25,-0.04,-0.27,-0.27,-0.06,0.21,0.24,0.53,0.03,0.41,0.36,0.06,-0.51,-0.62,-0.81,-0.47,-0.43,0.03,0.08,-0.03,0.19,-0.4,-0.32,-0.06,0.07,-0.22,-0.14,-0.2,-0.54,,-0.04,-0.07,,-0.43,-0.42,0.98,0.55,1.26,-0.27,-0.06,-0.49,-0.18,-0.1,-0.43,-0.92,-0.43,-0.23,-0.4,-0.01,-0.47,-0.76,-1.03,-0.04,0.03,-0.29,-0.43,-0.42,-0.64,-0.67,GO0004177@GO0005634@GO0005737@GO0005977@GO0006508
0.01,-0.69,-0.09,-0.09,0.25,0.21,-0.18,-0.4,-0.07,-0.09,0.52,0.07,-0.25,-0.3,0.25,0.14,0.14,0.29,-0.23,-0.58,-0.45,-0.22,-0.76,-0.97,-0.94,-0.54,-0.42,-0.27,,-0.14,-0.2,-0.3,-0.17,0.06,-0.22,-0.2,-0.17,0.11,0.12,-0.38,-0.09,-0.4,-0.47,-0.03,-0.29,0.11,-0.47,-0.06,-0.01,-0.01,0.08,0.15,0.41,-0.07,0.01,0.01,0.14,0.29,-0.32,-0.07,-0.45,-0.22,0.06,-0.15,-0.22,-0.56,-0.64,-0.29,0.12,-0.23,-0.15,-0.17,0.04,0.04,0.11,-0.1,-0.23,-0.04,0.14,GO0004842@GO0005634@GO0005730@GO0000209@GO0006513@GO0006997@GO0007067@GO0006913@GO0008361
-0.54,0.36,-0.22,-0.42,0.08,-0.12,0.15,-0.17,0.2,-0.27,-0.43,-0.22,-0.1,-0.29,0.01,-0.14,-0.04,-0.27,-0.06,-0.49,-0.04,-0.34,-0.47,-0.76,-0.36,-0.23,0.18,-0.2,-0.56,0.33,0.16,-0.12,-0.2,-0.15,-0.12,1.24,-1.12,-0.14,-0.22,0.89,0.45,-0.29,-0.2,,-1.74,0.29,-0.54,-0.71,0.41,-0.18,0.75,0.65,0.58,0.18,0.03,0.91,0.99,0.53,-0.17,0.86,0.03,0.25,0.36,-0.17,-0.38,-0.43,-0.64,-0.54,-0.15,0.26,-0.34,0.55,0.1,-0.18,0.08,-0.1,,0.29,,GO0003700@GO0005634@GO0006350@GO0009410@GO0042493
